κs,smooth_objective, relative_error
1.0e-7,0.008140144419495895, 0.6694701424266377
1.0e-5,0.00843113928331086, 0.657088727547516
0.001,0.008364301262392477, 0.6572685165791079
0.01,0.008639320480332032, 0.6496471602445374
0.1,0.008576643932798694, 0.6512078700575956
0.5,0.007972232022833396, 0.6752365648692785
0.9,0.008755786560599638, 0.6482726454168883
0.99,0.008009895298165655, 0.6798249943091927
10.0,0.009258557075626984, 0.6441822883748662
